amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_score,sharpe_score,alpha_score,expense_score,dd_score,overall_score
120841,Kotak Bluechip Fund - Regular - Growth,0.1726301444443794,0.25511741256223125,0.13042924450705445,1.59,-0.1757361416468729,55.00000000000001,60.0,62.5,87.5,42.5,61.375
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1803973982038829,0.23966336777285166,0.13173190226099432,1.54,-0.14844576917771746,52.5,62.5,60.0,76.25,62.5,61.0625
118634,Nippon India Small Cap Fund - Regular - Growth,0.080060298597036,0.292343251010993,0.1750072167561127,1.53,-0.2334488614483311,67.5,57.49999999999999,45.0,71.25,22.5,56.5625
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11242518737374207,0.1347978410610396,0.11989100971217971,0.78,-0.21117279560132118,65.0,65.0,65.0,25.0,30.0,55.5
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.19662361245910964,0.5197971450361778,0.17048756803412696,1.57,-0.1085986215250232,45.0,40.0,47.5,85.0,85.0,54.25
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.13974980348212673,0.5165503915082101,0.17703302365844073,1.42,-0.13897862823061635,62.5,42.5,42.5,50.0,67.5,52.125
102887,UTI Flexi Cap Fund - Regular - Growth,0.25549670172502026,0.38463733450338444,0.16211256794033255,1.64,-0.21539827112383225,32.5,55.00000000000001,52.5,98.75,27.500000000000004,51.5625
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.14744434832760533,0.6406730942266641,0.20873010086942337,1.52,-0.1527259422823477,60.0,37.5,35.0,66.25,55.00000000000001,49.8125
118635,Nippon India ETF Nifty 50 BeES,0.2000321571698329,0.3931881969124055,0.1513635464823924,0.89,-0.1165062450540909,42.5,50.0,57.49999999999999,32.5,77.5,49.375
119093,Axis Bluechip Fund - Direct - Growth,0.20811559826631898,-0.04707325681075906,0.08232801295222093,0.75,-0.21751396370148224,40.0,70.0,70.0,20.0,25.0,49.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.18417429266835228,0.40461547832920475,0.1625385327998104,1.41,-0.1982565826298267,50.0,47.5,50.0,47.5,35.0,47.5
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.18429918008610047,0.5062729716095954,0.17729754927531766,0.92,-0.15200013055606398,47.5,45.0,40.0,35.0,57.49999999999999,44.5
119552,SBI Bluechip Fund - Direct Plan - Growth,0.16263375081360643,0.6482414723266905,0.1986859936686296,0.66,-0.11803493502764295,57.49999999999999,35.0,37.5,10.0,75.0,42.5
118633,Nippon India Large Cap Fund - Direct - Growth,0.21084691029380598,0.3888288460001742,0.15643835948169668,0.72,-0.18629743138595511,37.5,52.5,55.00000000000001,13.750000000000002,37.5,41.1875
101206,ABSL Frontline Equity Fund - Regular - Growth,0.28960211096593724,0.717408995989017,0.21399784776051212,1.6,-0.11291596329323073,22.5,25.0,30.0,91.25,80.0,40.6875
149323,DSP Midcap Fund - Regular - Growth,0.26863103668817145,0.8328852279505966,0.26598577542043045,1.61,-0.17248105753451382,27.500000000000004,15.0,20.0,95.0,47.5,35.0
118632,Nippon India Large Cap Fund - Regular - Growth,0.22646647456747715,0.7588510310771438,0.21829397904608644,1.51,-0.17414075086657232,35.0,20.0,27.500000000000004,61.25000000000001,45.0,34.6875
119551,SBI Bluechip Fund - Regular Plan - Growth,0.3044861306002782,0.8609773262277756,0.23201007160635082,1.54,-0.1501238549864533,15.0,12.5,25.0,76.25,60.0,30.0625
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2917135767741186,0.919046535635828,0.2827036785246582,1.6,-0.1639674294693263,20.0,7.5,10.0,91.25,50.0,28.5625
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.32478927222623,0.7146822636441238,0.2119482701352573,0.8,-0.12588275606922517,7.5,27.500000000000004,32.5,30.0,72.5,27.375
149324,DSP Small Cap Fund - Regular - Growth,0.2699350260734621,0.7144216579881013,0.3005787817097677,1.52,-0.31171900300634214,25.0,30.0,5.0,66.25,10.0,26.9375
119598,SBI Small Cap Fund - Regular Plan - Growth,0.2666309129954312,0.7116901743847245,0.3033696538698332,1.43,-0.2870600572176455,30.0,32.5,2.5,52.5,12.5,26.75
120843,Kotak Flexicap Fund - Regular - Growth,0.2957511058901836,0.9655606517440118,0.27330465038306057,1.45,-0.1297396816518679,17.5,5.0,12.5,55.00000000000001,70.0,24.25
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.33991970400445304,1.0682238272314732,0.2698375144191807,1.46,-0.11265729075028275,5.0,2.5,17.5,57.49999999999999,82.5,22.5
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.3243397122906222,0.8082678003905592,0.2719535450128533,1.38,-0.16217208574644848,10.0,17.5,15.0,42.5,52.5,22.0
119094,Axis Midcap Fund - Regular - Growth,0.35102527889035406,0.7305467735561727,0.2607666908004223,1.38,-0.20960883862039192,2.5,22.5,22.5,42.5,32.5,20.5
120505,ICICI Pru Midcap Fund - Regular - Growth,0.3176924285223732,0.883255618469884,0.2926358334175106,1.36,-0.18188513572116294,12.5,10.0,7.5,37.5,40.0,17.375
